Ob,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Income,poverty_rate,percent_completed_hs
212,AK,Naukati Bay CDP,87.6,0,6.2,0.9,0,(X),40.6,70.4
213,AK,Nelchina CDP,86.4,0,8.5,0,0,41964,22.4,82.7
214,AK,Nelson Lagoon CDP,21.2,0,75,1.9,1.9,74375,7.1,57.5
215,AK,Nenana city,56.1,0.3,37.6,0.3,0.5,43250,15.3,78.9
216,AK,New Allakaket CDP,0,0,98.5,0,0,26250,28.1,72.2
217,AK,New Stuyahok city,3.5,0,93.5,0,1.2,42813,30.8,75.9
218,AK,Newhalen city,7.4,0.5,80,0,2.6,56250,17.7,92.8
219,AK,Newtok CDP,2.8,0,96,0.3,0.3,38125,42.3,72.6
220,AK,Nightmute city,5,0,94.6,0,2.5,39375,26.6,66.4
221,AK,Nikiski CDP,85.6,0.1,7.7,1.1,2.6,70909,8.3,91.9
222,AK,Nikolaevsk CDP,92.5,0,3.5,0.3,4.4,23125,21.8,84.8
223,AK,Nikolai city,7.4,0,80.9,0,0,36875,21.1,76.3
224,AK,Nikolski CDP,5.6,0,94.4,0,0,35000,32.4,92.3
225,AK,Ninilchik CDP,78.1,0.2,15.4,0.3,2.6,49659,10.8,94.5
226,AK,Noatak CDP,2.5,0.4,94.7,0,0,51250,24.4,84.9
227,AK,Nome city,30.4,0.5,54.8,2.2,2.4,76389,11.3,92.6
228,AK,Nondalton city,15.9,0,63.4,0,0,30833,39.6,84.7
229,AK,Noorvik city,3.7,0.4,88.3,0,0.1,40833,37.2,75.3
230,AK,North Pole city,79.6,5.4,3.4,4,6.1,70536,7.5,92.1
231,AK,Northway CDP,11.3,0,78.9,1.4,0,51250,21.4,86.3
232,AK,Northway Junction CDP,22.2,0,66.7,0,1.9,57500,46.9,93.3
233,AK,Northway Village CDP,2,0,77.6,0,0,20000,50,62.9
234,AK,Nuiqsut city,10,0.2,87.1,0,0,80938,6.2,65.2
235,AK,Nulato city,4.9,0,94.3,0,0.8,38281,27.6,82.8
236,AK,Nunam Iqua city,5.9,0,91.4,1.1,0,41250,16.3,62.3
237,AK,Nunapitchuk city,2.4,0,95.8,0,0,35833,43.9,73.6
238,AK,Old Harbor city,11,0,87.6,0,1.4,33750,18.8,73.4
239,AK,Oscarville CDP,2.9,0,91.4,1.4,0,(X),27.3,60
240,AK,Ouzinkie city,10.6,0,79.5,0.6,1.9,34464,21.3,76.7
241,AK,Palmer city,79.1,1.8,9.2,1.1,4.6,61797,11.5,91.3
242,AK,Paxson CDP,92.5,5,0,0,0,-,0,100
243,AK,Pedro Bay CDP,28.6,0,66.7,0,0,56667,8.3,90.9
244,AK,Pelican city,59.1,0,34.1,0,1.1,66667,0,78.7
245,AK,Perryville CDP,2.7,0,95.6,0,2.7,38125,33.7,71.7
246,AK,Petersville CDP,75,0,0,0,0,-,-,-
247,AK,Pilot Point city,16.2,0,66.2,0,0,28750,35.8,68.8
248,AK,Pilot Station city,1.8,0,98.1,0,0,33125,39.3,72.6
249,AK,Pitkas Point CDP,1.8,0,97.2,0,0,47500,25.7,77.6
250,AK,Platinum city,4.9,0,88.5,1.6,4.9,44063,40.5,66.7
251,AK,Pleasant Valley CDP,89.7,0.6,3.7,0.6,1.7,68929,11.9,100
252,AK,Point Baker CDP,73.3,0,0,0,6.7,-,78,100
253,AK,Point Hope city,5.8,0.4,89.5,0,1.9,57292,17.6,83.6
254,AK,Point Lay CDP,10.6,0,88.4,0,0.5,61563,19,75.7
255,AK,Point MacKenzie CDP,67.7,4.5,23.3,0.6,3.2,78500,9,89
256,AK,Point Possession CDP,100,0,0,0,0,-,-,-
